Number of Petrol cars : 20
Number of Diesel cars : 10
Number of Electric cars : 6
Number of Hybrid cars : 4
Colour,Maker,Model,Mileage,Type
"white","ford","2015","10","Petrol"
"black","sokoda","2015","20","Petrol"
"white","audi","2018","14","Petrol"
"yellow","suzuki","2014","10","Petrol"
"red","sokoda","2016","10","Petrol"
"yellow","toyota","2020","12","Petrol"
"green","honda","2017","15","Petrol"
"red","ford","2013","14","Petrol"
"red","sokoda","2020","14","Petrol"
"yellow","suzuki","2020","14","Petrol"
"red","sokoda","2018","11","Petrol"
"black","suzuki","2014","14","Petrol"
"black","suzuki","2016","15","Petrol"
"purple","bmw","2015","15","Petrol"
"white","toyota","2018","15","Petrol"
"green","sokoda","2015","11","Petrol"
"yellow","kia","2016","11","Petrol"
"black","toyota","2014","12","Petrol"
"yellow","honda","2017","15","Petrol"
"green","honda","2017","10","Petrol"
"red","honda","2014","12","Electric"
"purple","ford","2019","10","Electric"
"green","ford","2013","16","Electric"
"red","ford","2019","15","Electric"
"green","bmw","2013","15","Electric"
"black","audi","2019","20","Electric"
"black","audi","2018","15","Diesel"
"purple","suzuki","2014","15","Diesel"
"green","sokoda","2020","16","Diesel"
"green","ford","2018","14","Diesel"
"green","suzuki","2020","15","Diesel"
"black","bmw","2016","10","Diesel"
"orange","sokoda","2020","12","Diesel"
"green","suzuki","2016","16","Diesel"
"yellow","kia","2017","11","Diesel"
"purple","audi","2018","12","Diesel"
"green","suzuki","2017","16","Hybrid"
"purple","honda","2018","11","Hybrid"
"white","sokoda","2015","10","Hybrid"
"yellow","audi","2018","15","Hybrid"
