Country,Population,Median_Age,Sex Ratio,Age%_65+,Lung Patients (F),Lung Patients (M),Life Expectancy (M),Life Expectancy (F),Total Cases
Afghanistan,38928346,18.4,1.03,2.61,36.31,39.33,63.2,63.6,146523
Albania,2877797,36,0.98,12.23,7.02,17.04,76,81.6,132999
Algeria,43851044,29,1.03,5.81,5.03,12.18,75.8,78.7,168668
Andorra,77265,45,1.06,16.18,,,80.7,85.3,14655
Angola,29800000,16.7,,2.32,,,58.5,62.7,42486
Antigua-Barbados,97929,34,0.9,8.32,7.67,18.78,74.8,79.2,1295
Argentina,45195774,32,0.98,11.79,20.16,42.59,74.4,80,4905925
Armenia,2963243,35,0.94,11.7,16.17,35.99,71.8,78.7,229867
Austria,9006398,43,0.96,19.44,13.02,22.14,79,84.5,658518
Azerbaijan,10139177,32,0.98,6.81,14.07,29.32,70,76.4,342548
Bahamas,393244,32,0.96,8.05,3.35,10.43,70.4,75.4,14545
Bahrain,1701575,32,0.95,3.08,13.83,22.39,76.9,81.5,268974
Bangladesh,164689383,28,0.8,6.42,61.7,76.24,71.5,75.9,1226253
Barbados,287375,40,0.94,12.36,6.15,14.54,73.3,78.1,4365
Belarus,9449323,40,0.87,15.22,2.83,21.51,67.8,79,443864
Belgium,11589623,42,0.97,18.78,21.2,34.98,78.6,83.9,1122951
Belize,375000,23.7,1.01,4.35,,,73.1,76.3,14114
Denmark,5792202,42,0.97,19.42,31.31,32.85,79.1,83.1,314983
Djibouti,988000,27,0.84,3.83,12.95,25.16,61.4,66.6,11649
Dominican-Republic,10847910,28,1.03,5.92,9.5,13.57,69.7,73.1,341179
Ecuador,17643054,28,0.99,7.67,18.85,30.17,74.2,80.3,485673
Egypt,102334404,25,1.05,4.28,19.19,27.17,71.8,74.7,284170
Equitorial-Guinea,1402985,22,0.99,3.94,32,50.58,63.8,66.2,8880
Estonia,1326535,42,4,20.2,3.59,18.36,72.3,82,133308
Eswatini,1160164,21,1,3.77,39.63,,55.1,59.3,24848
Ethiopia,114963588,19,0.99,2.97,13.55,24.28,60.5,65.5,279629
Finland,5540720,43,0.97,21.51,5.47,15.97,78.1,84.2,106008
France,65430357,42,0.96,19.82,9.64,17.69,78.9,85.3,6079239
Gabon,2225734,23,0.99,3.91,19.5,35.62,66.3,69.6,25370
Gambia,2416668,18,0.98,3.55,,,63,67.8,7709
Georgia,3989167,38,0.92,16.27,15.96,34.46,72.5,80.9,416338
